Topic,TrecID,UUID,target_hostname,Score
What is the difference between sex and love?,clueweb12-0112wb-41-03882,77b03eb9-7d1c-5559-aab7-32101b418085,www.irsc.ca,1541.9591
What is the difference between sex and love?,clueweb12-0103wb-30-32826,67c96f5a-89c7-5513-b9c0-43f3cf2f4e6a,www.cihr-irsc.gc.ca,1541.7133
What is the difference between sex and love?,clueweb12-0104wb-11-31676,9411d9ca-8e7a-5013-ae8e-733d3f9277a5,www.cihr.gc.ca,1541.3348
What is the difference between sex and love?,clueweb12-0105wb-50-17948,f22f9b81-d12b-5a3a-a4a7-78a1125a3b75,www.cihr.ca,1540.7422
What is the difference between sex and love?,clueweb12-0201wb-90-06213,92891857-80c5-5828-8e4b-56ca589b370a,www.irsc-cihr.gc.ca,1540.5138
What is the difference between sex and love?,clueweb12-0110wb-83-26680,d9a6dfa5-1b46-59e2-92d2-1740c49c5343,www.irsc.gc.ca,1540.2225
What is the difference between sex and love?,clueweb12-1605wb-76-09417,3aa3ebd1-bbe1-5ec0-968a-d226d74268dc,www.wechange.org,1526.2968
What is the difference between sex and love?,clueweb12-1410wb-94-00957,1b711fb4-600e-5905-8eac-dd80967e9c83,elevatedifference.com,1525.7739
What is the difference between sex and love?,clueweb12-0013wb-07-11266,34867a26-9eef-56a9-9298-b64da9e9335d,wayoflife.org,1522.3751
What is the difference between sex and love?,clueweb12-0402wb-67-10644,079ec4ed-ad9c-50f5-af3e-a33223f30c0f,wayoflife.org,1521.9042
What is the difference between sex and love?,clueweb12-1118wb-63-02482,92ac373a-10d6-5ec9-ace8-0e510df8e3c5,theangryblackwoman.com,1517.2745
What is the difference between sex and love?,clueweb12-0300wb-03-04724,5a17bbb9-24a6-5e73-b7db-04af4da8f181,www.sextherapyinphiladelphia.com,1505.8553
What is the difference between sex and love?,clueweb12-1102wb-22-04528,637f78c9-6198-5e67-90d8-3745bbd446bc,www.catmom.com,1502.5159
What is the difference between sex and love?,clueweb12-1013wb-05-07809,99b0bffe-203e-5eb5-b9b6-f2124961cb05,www.thelighthouseonline.com,1501.3365
What is the difference between sex and love?,clueweb12-0105wb-48-00582,edc55bbd-124e-542f-9dda-930e16c09668,www.everystudent.com,1498.6752
"Which is better, a laptop or a desktop?",clueweb12-0505wb-78-06026,fb403582-86a4-5be5-b460-01c8965f5aa5,www.cpointcc.com,2197.1284
"Which is better, a laptop or a desktop?",clueweb12-1714wb-90-02429,d927d174-f8b5-58e7-a468-1f8ddef97e72,www.aiuniv.edu,2127.2913
"Which is better, a laptop or a desktop?",clueweb12-1412wb-03-18627,21aa1605-2163-540e-86fc-554dde134478,www.askcomputerexperts.com,2047.8572
"Which is better, a laptop or a desktop?",clueweb12-1516wb-62-16691,bc13e394-95b9-5929-a790-e2b1b3ce7867,www.barton.cc.ks.us,2041.0424
"Which is better, a laptop or a desktop?",clueweb12-0401wb-86-26269,0c12a1ef-6b68-529c-a878-73895c92e204,www.bartonccc.edu,2039.9296
"Which is better, a laptop or a desktop?",clueweb12-0001wb-84-26550,9b37d31f-8150-5797-9fae-89c2d9ba4c14,collegelife.about.com,1970.04
"Which is better, a laptop or a desktop?",clueweb12-0306wb-77-05626,591619da-3135-597e-80d8-debf33f5daba,h71036.www7.hp.com,1861.0436
"Which is better, a laptop or a desktop?",clueweb12-0109wb-23-31617,dce38919-f4da-53db-a89e-30ce85c1f241,www.collegeglobe.com,1752.1
"Which is better, a laptop or a desktop?",clueweb12-0109wb-28-26419,4dca4710-5803-5f9e-855f-185faf2ea408,www.collegeglobe.com,1751.114
"Which is better, a laptop or a desktop?",clueweb12-0205wb-01-05763,50f72828-adb2-5873-8963-86156c011ff9,www.pcworld.com,1748.5516
"Which is better, a laptop or a desktop?",clueweb12-0700tw-48-02518,8f6b0a20-18b7-5a3b-a762-e4bebb953554,www.pcworld.com,1592.4023
"Which is better, a laptop or a desktop?",clueweb12-1313wb-37-07544,89b5f1ea-e522-5946-817e-94f1d4031df5,www.mycollegesandcareers.com,1724.7817
"Which is better, a laptop or a desktop?",clueweb12-0608wb-66-03868,ffe6723a-7ac0-53a3-b0ca-5d304c954a6b,www.whatthetech.com,1710.3556
"Which is better, a laptop or a desktop?",clueweb12-1201wb-97-16663,35e0c677-d514-55ca-9c1c-62ab51537d59,www.sgmlopen.org,1694.2443
"Which is better, a laptop or a desktop?",clueweb12-1913wb-30-36234,9fad4b53-2f15-5267-ba76-81cadd3c8741,www.coursestuff.co.uk,1676.9336
"Which is better, a laptop or a desktop?",clueweb12-1904wb-64-15725,1be5a578-3dc1-50bc-b34d-43129fa5c889,www.itdonut.co.uk,1675.6989
"Which is better, a laptop or a desktop?",clueweb12-0800wb-27-08034,ed9c95ce-51cc-510a-8fc3-606bd56fefd9,ghaziabad.quikr.com,1640.2158
"Which is better, a laptop or a desktop?",clueweb12-0800wb-27-08042,0c4789a1-4738-59c8-9d72-208c1eab88b4,ghaziabad.quikr.com,1526.7607
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17380,eb7cac27-ee23-5a64-8aa5-8891ebc95747,ghaziabad.quikr.com,1511.6976
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17390,aad8b354-378d-573f-8056-1eb56f9b715f,ghaziabad.quikr.com,1509.0055
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17377,65952f79-c215-54b6-a00a-5cab1b0fd7e6,ghaziabad.quikr.com,1421.009
"Which is better, a laptop or a desktop?",clueweb12-1200tw-92-06441,824886a5-984e-59a6-b5da-2d756c56f7c9,notes.envato.com,1636.1565
"Which is better, a laptop or a desktop?",clueweb12-0001wb-15-04451,0b4954a6-eb79-509b-b01c-47f124f0f413,compreviews.about.com,1588.6569
"Which is better, a laptop or a desktop?",clueweb12-0203wb-58-00727,581e14dc-4248-5c2f-b8d0-3878dbad5e8c,www.linuxquestions.org,1518.0106
"Which is better, a laptop or a desktop?",clueweb12-1513wb-74-28160,89e28766-a906-5eb1-adc1-a69b20a0c006,www.mompreneursonline.com,1505.7705
"Which is better, a laptop or a desktop?",clueweb12-1804wb-84-01567,9a8f1358-380c-525a-8109-c0b3e4422431,www.savemysystem.co.uk,1504.5293
"Which is better, a laptop or a desktop?",clueweb12-0200wb-97-10905,839bf76f-76c3-5ede-b467-98220cdf4249,www.didimtoday.com,1491.9368
"Which is better, a laptop or a desktop?",clueweb12-1806wb-97-03726,c6e0f7aa-7c19-5672-bc5b-2dc5e56095c2,www.reviversoft.com,1490.5548
"Which is better, a laptop or a desktop?",clueweb12-0100tw-65-03421,3997983c-3cae-5500-810e-0c30b146a7e2,globalgoodgroup.com,1477.1879
"Which is better, a laptop or a desktop?",clueweb12-1414wb-82-03550,0d1f054c-5e10-52a4-9597-68c2872b9fc3,supportfordell.iyogi.com,1453.8855
"Which is better, a laptop or a desktop?",clueweb12-1510wb-85-09365,8bc056fb-c618-5221-8e38-ea248ac7b712,ostatic.com,1437.1533
"Which is better, a laptop or a desktop?",clueweb12-1511wb-08-16078,a77f0117-c2bb-544b-a7f0-4ba7f1df093a,ostatic.com,1434.0819
"Which is better, a laptop or a desktop?",clueweb12-0006wb-36-13364,69e3747c-c7b0-5d09-9b20-6de1ebd429fe,ostatic.com,1433.0146
"Which is better, a laptop or a desktop?",clueweb12-0802wb-59-26204,d07f49eb-ba19-5f19-8881-7f50973561e5,patna.quikr.com,1428.6808
"Which is better, a laptop or a desktop?",clueweb12-1002wb-75-11480,2dafd82e-90e2-5501-9d41-23a896ef2de9,moka5.com,1423.8458
"Which is better, a laptop or a desktop?",clueweb12-1115wb-77-24169,e9a7108a-1a02-53f6-8403-7d0a273b0746,www.moka5.com,1423.7842
"Which is better, a laptop or a desktop?",clueweb12-1006wb-20-06692,e1e4ff85-0d9f-557c-a7fc-85d55476d23b,www.mokafive.com,1422.7076
"Which is better, a laptop or a desktop?",clueweb12-1005wb-51-18027,d7b8fcdd-01f2-5887-a611-09beafba5afa,www.mokafive.com,1420.6418
"Which is better, a laptop or a desktop?",clueweb12-0904wb-41-13097,181a5bfa-36a5-5db5-b5bf-7b3bbb1975da,www.officenetworksusa.com,1415.5741
"Which is better, a laptop or a desktop?",clueweb12-0603wb-91-13413,7a3ed937-42cc-5100-bcdc-c1bef223531d,www.tomshardware.com,1387.1621
"Which is better, a laptop or a desktop?",clueweb12-0510wb-66-07212,03a3ea1e-6f32-57fa-b692-12397c742574,www.lineagechat.com,1384.727
"Which is better, a laptop or a desktop?",clueweb12-0510wb-43-25321,1c1dc7fd-8a85-53db-a361-96d25143a1ed,www.lineagechat.com,1384.5751
"Which is better, a laptop or a desktop?",clueweb12-1717wb-46-11634,4b069858-c421-554a-8898-632fb8a74844,h30458.www3.hp.com,1363.2169
"Which is better, a laptop or a desktop?",clueweb12-1716wb-73-00607,909a94c6-ff70-50ea-ba8c-8236ecbeca8a,h30458.www3.hp.com,1361.4409
"Which is better, a laptop or a desktop?",clueweb12-1311wb-88-33844,8e2a33ff-9f51-5cff-8a2e-c50aebfb8314,www.desktoplinux.com,1361.0677
"Which is better, a laptop or a desktop?",clueweb12-0000wb-83-09106,db272975-b385-5d0e-a999-9e188214c28b,desktoplinux.com,1359.5807
"Which is better, a laptop or a desktop?",clueweb12-1806wb-38-15621,d1e89e4c-cc42-5949-acf3-9cb522e8cb84,www.clickawaycomputer.com,1347.9594
"Which is better, a laptop or a desktop?",clueweb12-1502wb-12-02072,4aa9c1f5-3437-595c-bd98-a131380f14ef,toshiba-equium.createforum.co.uk,1343.9816
"Which is better, a laptop or a desktop?",clueweb12-0918wb-55-26984,6b3f53d6-31b6-5e79-801d-428bd33349ed,www.cashforlaptops.com,1336.1825
"Which is better, a laptop or a desktop?",clueweb12-0301wb-84-10147,8d498f77-74b7-54e7-ab83-6c8d50e5ab18,www.shop4laptop.com,1328.0639999999999
"Which is better, Canon or Nikon?",clueweb12-0200wb-72-02633,cb4704fd-7969-52e8-90c0-f881872c5add,www.digitalrev.com,2317.3320000000003
"Which is better, Canon or Nikon?",clueweb12-0200wb-72-02639,e9743d34-a242-5afa-bb02-0479962e1cc8,www.digitalrev.com,1792.2296
"Which is better, Canon or Nikon?",clueweb12-0400tw-46-07931,5caa491a-624e-5fdc-9b1e-80565c9b56b5,www.digitalrev.com,1312.001
"Which is better, Canon or Nikon?",clueweb12-0002wb-34-08397,c21ec22b-4ddb-5910-a1d3-f75dc14d9f3e,cameras.about.com,1925.0942
"Which is better, Canon or Nikon?",clueweb12-0001wb-98-37238,f0c59fb2-4df6-550e-ac4c-1c36342d7937,cameras.about.com,1916.7164
"Which is better, Canon or Nikon?",clueweb12-0001wb-84-25807,2901198f-43dc-56e7-a579-b4caffbb91df,cameras.about.com,1584.559
"Which is better, Canon or Nikon?",clueweb12-1210wb-90-34231,db1b6839-49ff-5a0a-9156-9185e947b587,bbs.scoobynet.com,1815.0052
"Which is better, Canon or Nikon?",clueweb12-1308wb-88-08893,bd6b293a-87d1-5ebf-9c08-19ac88c5ff81,www.bytephoto.com,1792.1083
"Which is better, Canon or Nikon?",clueweb12-1307wb-70-26284,44958766-c0be-5578-9c01-0555b8a09e39,www.bytephoto.com,1356.5812
"Which is better, Canon or Nikon?",clueweb12-1201wb-30-21788,c74d1de7-b78f-58c1-a607-8a47044ad725,tleaves.com,1779.0756
"Which is better, Canon or Nikon?",clueweb12-1201wb-86-23638,d365eb24-14dd-5b76-8939-ca57549bee8a,tleaves.com,1762.5220000000002
"Which is better, Canon or Nikon?",clueweb12-0903wb-90-00272,b5c3597e-75c5-51ad-ab9f-03d16efedf18,spikesphotos.com,1767.6042
"Which is better, Canon or Nikon?",clueweb12-0405wb-11-27558,f167bb72-5929-5f1f-88ab-61287f0ac4f8,www.digiforumz.com,1721.2908
"Which is better, Canon or Nikon?",clueweb12-0003wb-98-18373,ae0c516f-19de-51b9-8126-9bd069e37ac0,diglloyd.com,1707.5494
"Which is better, Canon or Nikon?",clueweb12-0000wb-74-33950,a472119a-fc75-5a4a-b0b5-d9d1e5eb9f05,diglloyd.com,1466.3461
"Which is better, Canon or Nikon?",clueweb12-1501wb-15-09710,afd5ec52-77a0-54d6-8d62-2d03c1969497,diglloyd.com,1368.4584
"Which is better, Canon or Nikon?",clueweb12-0701wb-88-19190,37302a57-9ff8-5392-8c81-2c19bfbc881c,www.thephotoforum.com,1699.1891
"Which is better, Canon or Nikon?",clueweb12-1910wb-41-17612,7aa46a9c-890a-5640-9503-4ba77ed3085c,www.dslrforum.com,1687.1464
"Which is better, Canon or Nikon?",clueweb12-0400tw-48-21091,0022bd72-1c0d-53df-b6b6-1e14b4f38637,www.ephotozine.com,1630.0712
"Which is better, Canon or Nikon?",clueweb12-1600tw-26-02980,8791ea78-8ae1-5c2e-9ee4-1b8bdca7c10f,www.ephotozine.com,1494.2520000000002
"Which is better, Canon or Nikon?",clueweb12-0202wb-53-23097,029427d3-7436-5fa0-9cd9-7b1658b3b7a8,www.ephotozine.com,1289.369
"Which is better, Canon or Nikon?",clueweb12-0900tw-07-07690,0d28e942-3360-5f76-a60e-11274d7c7f53,www.thephoblographer.com,1562.7543
"Which is better, Canon or Nikon?",clueweb12-0301tw-32-05501,c79c2fce-eb80-512e-8e28-425162dc8990,www.thephoblographer.com,1366.0646
"Which is better, Canon or Nikon?",clueweb12-0000tw-33-16489,31eb427c-e5c3-51ce-801a-74bbd760ef14,www.thephoblographer.com,1288.2535
"Which is better, Canon or Nikon?",clueweb12-0012wb-34-10102,aeba6935-90b8-5b33-89e6-d0928687b859,scorpionentity.deviantart.com,1548.7839
"Which is better, Canon or Nikon?",clueweb12-1315wb-32-19983,9f67661d-a001-5f0d-811a-30ae0aa8b46e,www.occasionaldrivel.com,1546.7745
"Which is better, Canon or Nikon?",clueweb12-1313wb-87-02787,ae03ecf8-dee3-5135-b51f-ade53c850d80,www.occasionaldrivel.com,1525.1053
"Which is better, Canon or Nikon?",clueweb12-1314wb-28-06975,44524e58-fed7-52ae-ad53-00c581ad5b49,www.occasionaldrivel.com,1473.569
"Which is better, Canon or Nikon?",clueweb12-1313wb-97-08882,88bb3f7d-8e4c-59e5-bbf4-5a13b27973f9,www.occasionaldrivel.com,1417.3109
"Which is better, Canon or Nikon?",clueweb12-0004wb-94-23288,98d081dd-45b2-5c4d-a7e6-df439a2d1dbd,luminous-landscape.com,1513.0956
"Which is better, Canon or Nikon?",clueweb12-0500wb-68-25390,657867ca-29f6-550e-bcdf-14e2980f4ec6,www.llvj.com,1510.7944
"Which is better, Canon or Nikon?",clueweb12-1305wb-71-02651,51a4b925-2520-59b6-8fe4-5ee798820f71,babygirlbri15.deviantart.com,1508.0027
"Which is better, Canon or Nikon?",clueweb12-0404wb-62-00935,2e8ca8ea-90a2-553a-b874-20e641a1d733,www.cambridgeincolour.com,1467.1853
"Which is better, Canon or Nikon?",clueweb12-1714wb-60-13368,5b052100-1335-55cc-904e-0313e57ab750,www.neothermic.com,1453.2037
"Which is better, Canon or Nikon?",clueweb12-1715wb-43-15728,276f9324-e29b-596d-adae-ec4740c3fe1e,www.neothermic.com,1444.1467
"Which is better, Canon or Nikon?",clueweb12-0111wb-10-00889,edcd2a49-12db-53e5-9e3f-ebe5890e0fb5,www.fineartgicleeprinters.org,1406.4688
"Which is better, Canon or Nikon?",clueweb12-0301tw-22-15272,fb02eed1-42b1-5a22-9df8-8d8c2bd74b9b,blog.getaway.co.za,1377.6577
"Which is better, Canon or Nikon?",clueweb12-1502wb-62-28658,ba8bb13b-3073-59f1-adcb-7ab6022fabc9,www.opendigitalphotography.com,1373.078
"Which is better, Canon or Nikon?",clueweb12-1305wb-62-10293,0c614e72-beb7-5e48-ba98-01e8031af283,dzodan.deviantart.com,1356.2263
"Which is better, Canon or Nikon?",clueweb12-1415wb-74-12958,c2420c66-fd8d-5145-a84b-a7b717f7add1,www.bill.lockharts.com,1348.9955
"Which is better, Canon or Nikon?",clueweb12-1403wb-25-31266,e85a7df2-2824-52d1-b73d-7c8fd3ed4d64,www.tomsguide.com,1311.0049
"Which is better, Canon or Nikon?",clueweb12-0901tw-09-03503,b8cb71bd-5287-5181-a5e5-d87e34355bcb,jasonhines.net,1308.063
"Which is better, Canon or Nikon?",clueweb12-0901tw-06-04442,5077f875-b1fe-545b-bc8c-85f4083ff7cc,jasonhines.net,1307.6844
"Which is better, Canon or Nikon?",clueweb12-0817wb-45-01465,887f512c-1e5b-5928-bd15-e3a19a7723e8,www.techradar.com,1307.765
"Which is better, Canon or Nikon?",clueweb12-0817wb-55-01997,7d6ff4ce-9e04-5cc0-b070-e5122977ab55,www.techradar.com,1306.5988
"Which is better, Canon or Nikon?",clueweb12-0817wb-45-01466,01547183-9be3-5b0d-90e2-32f6a1ddf39e,www.techradar.com,1303.8508
"Which is better, Canon or Nikon?",clueweb12-0300tw-35-22333,ed6b0e7d-8aaf-5fcc-a564-66979da7f5d8,www.mcpactions.com,1284.1384
"Which is better, Canon or Nikon?",clueweb12-1702wb-49-27794,b8d093c2-3804-5330-a2ab-dfc775b394da,www.grantcorban.com,1281.7462
"Which is better, Canon or Nikon?",clueweb12-0805wb-90-09613,7942a912-3959-5210-9f2d-6236afeea346,blog.cymfony.com,1267.7804
"Which is better, Canon or Nikon?",clueweb12-0915wb-05-19060,0451dd7b-6960-519e-9250-134f9d4414d8,www.blahblahtech.com,1257.7675
What are the best dish detergents?,clueweb12-1510wb-29-22711,f4611819-83ec-5e7b-82cc-238a6ca1fed7,www.statusclean.com,2554.595
What are the best dish detergents?,clueweb12-1509wb-96-07966,975044d1-6764-51ff-8fda-b72156e827f5,www.statusclean.com,1657.8115
What are the best dish detergents?,clueweb12-0003wb-36-32958,68cdae13-19f0-5e8a-99fe-99830948e31c,frugalliving.about.com,1688.0955
What are the best dish detergents?,clueweb12-0303wb-25-18273,458443c5-1c95-59d7-8b68-6225eeacf2ac,www.seventhgeneration.com,1486.6229999999998
What are the best dish detergents?,clueweb12-0305wb-68-03787,3838e256-49f1-539a-8fc9-e8567b975157,www.seventhgeneration.com,1317.09
What are the best dish detergents?,clueweb12-0303wb-63-17983,9d3b4519-3ac0-53a4-a42b-8ea5e56b5100,www.seventhgeneration.com,1269.9917
What are the best dish detergents?,clueweb12-0600wb-60-20030,e64147f6-a69e-50be-87af-1ddea0bb10ca,www.seventhgeneration.com,1228.8728
What are the best dish detergents?,clueweb12-0305wb-47-25718,ad4d4926-89b1-5d82-bb78-2c961e9001c1,www.seventhgeneration.com,1113.4628
What are the best dish detergents?,clueweb12-0303wb-81-29273,c2a1dc80-b633-5d36-97a6-392e19339965,www.seventhgeneration.com,1110.5521
What are the best dish detergents?,clueweb12-0603wb-53-32485,153d5c8a-329c-5748-bbb4-d18b10d8dcd3,www.seventhgeneration.com,1108.8256
What are the best dish detergents?,clueweb12-0602wb-18-00192,4c14f70c-aa47-5013-a327-fabcb4cf6a1e,www.seventhgeneration.com,1104.3225
What are the best dish detergents?,clueweb12-0600wb-87-32069,87c557cd-86df-568a-9fe0-44a60c74aa56,www.seventhgeneration.com,831.67334
What are the best dish detergents?,clueweb12-1107wb-05-23577,1412c1fd-a259-5624-9a5a-21a7ac9770b4,www.wantist.com,1486.4389999999999
What are the best dish detergents?,clueweb12-1700wb-80-26408,466642dd-a937-569f-9d88-4d60cc39cf4f,www.cleanitsupply.com,1404.3301
What are the best dish detergents?,clueweb12-0305wb-27-07777,529339e4-67db-5ffe-9e8e-142498a61d85,www.southafricab2b.co.za,1392.6921
What are the best dish detergents?,clueweb12-0400tw-74-16641,7ffd7718-ecbd-52ba-82e7-85ec97116d92,blogs.babble.com,1372.0316
What are the best dish detergents?,clueweb12-0400tw-56-03832,6d2a2c70-01f9-5dd2-84a8-64ae96bd9587,blogs.babble.com,1366.7175
What are the best dish detergents?,clueweb12-0400tw-54-05484,a694d7e5-7421-5710-9884-a81595c27074,blogs.babble.com,1361.7465
What are the best dish detergents?,clueweb12-0305wb-67-24731,43cc8c86-74dc-54cc-a5d7-b1401377f03b,www.cleaninginstitute.org,1176.0853
What are the best dish detergents?,clueweb12-0916wb-33-07905,a6e6951a-e684-54a8-affc-95acb0162ce2,www.thriftyfun.com,1165.9508
What are the best dish detergents?,clueweb12-1102wb-27-13741,20936ccc-548c-5a7c-90f4-6580611037fa,blogs.argusleadermedia.com,1153.7416
What are the best dish detergents?,clueweb12-0200tw-23-06816,fa06a372-7b6e-52b1-87ed-b3176f096ea9,areliajamesisland-jacksonville.myaptportal.com,1151.9055
What are the best dish detergents?,clueweb12-0110wb-73-07162,2a9a3f7a-7e44-5ec8-928a-209368571e35,www.gdiapers.com,1141.1809
What are the best dish detergents?,clueweb12-0503wb-70-27746,1fa29df2-8cfd-5527-95ac-e18b83844f7c,www.gdiapers.com,1126.1575
What are the best dish detergents?,clueweb12-1813wb-52-11765,73cb0de9-cebf-5131-851d-3ee69df1d29b,www.burnhamnationwide.com,1119.9816
What are the best dish detergents?,clueweb12-1813wb-52-11768,44279db1-9cba-51f1-8ac2-2e155ebd7645,www.burnhamnationwide.com,1043.0223
What are the best dish detergents?,clueweb12-0404wb-44-05984,f7a48318-8f27-50c2-9bde-be10c4f445f2,www.euphoriababy.com,1086.1238
What are the best dish detergents?,clueweb12-1901wb-01-01679,2472424f-6cbb-5db4-8519-669d5bdcabbf,blog.thornberrywoods.lincolnapts.com,1080.7361
What are the best dish detergents?,clueweb12-0001wb-04-27847,daac075c-8043-5ac6-96a1-3195488c0b9e,environment.about.com,1065.8007
What are the best dish detergents?,clueweb12-0608wb-43-06944,00795f54-6759-579f-95e0-0973c97bbc34,www.washing-machine-wizard.com,1058.2734
What are the best dish detergents?,clueweb12-1503wb-74-17799,ab31737b-9c90-5b93-bfff-024f588178a4,www.leapingbunny.org,982.1155
What are the best dish detergents?,clueweb12-1000wb-40-13777,dc78bc55-1e97-5747-a39e-b8a60b0c08fa,www.designcontest.com,949.97
What are the best dish detergents?,clueweb12-1020wb-80-27395,4a318fa6-2a70-5809-b58e-c12676a40fe1,www.nextdaycatering.co.uk,945.627
What are the best dish detergents?,clueweb12-1809wb-27-26087,6cd543ab-2393-530b-bf4f-959fd6343165,www.exportech.co.uk,936.1423300000001
What are the best dish detergents?,clueweb12-0500tw-16-08942,3caa0d7d-5945-5a54-b2fa-6af5bf2bbc3a,msannomalley.com,913.5805
What are the best dish detergents?,clueweb12-1809wb-27-07956,6094325b-1eeb-54b6-a78e-9e3743e2dab1,www.homegrown.org,897.9208
What are the best dish detergents?,clueweb12-1613wb-54-11739,56ad7141-dfc3-59bd-afe3-6e186c5ccff7,hburgnews.com,891.6406
What are the best dish detergents?,clueweb12-0202wb-21-32224,5b7d874c-844e-57ea-b0c1-8ee1f0c257d0,www.housekeepingchannel.com,877.03766
